START_DATE,END_DATE,WEEK,MONTH,YEAR,CARRIER,ROUTE,Departures,PASSENGERS,DATE,WeekDay Name,Seasonality,Weather Condition,Holiday Status,Holiday_In_Week,Holiday_Names,SOURCE_SHEET
2/8/2021,2/12/2021,Feb 8-12,Feb,2021,Greyhound,Intercity Bus Departures,34,869,02/08/2021 - 02/12/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 8-12
2/8/2021,2/12/2021,Feb 8-12,Feb,2021,HCEE - Community,Commuter Bus Departures,75,935,02/08/2021 - 02/12/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 8-12
2/8/2021,2/12/2021,Feb 8-12,Feb,2021,Lakeland,Commuter Bus Departures,12,271,02/08/2021 - 02/12/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 8-12
2/8/2021,2/12/2021,Feb 8-12,Feb,2021,Martz,Commuter Bus Departures,13,462,02/08/2021 - 02/12/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 8-12
2/8/2021,2/12/2021,Feb 8-12,Feb,2021,NJ Transit,Commuter Bus Departures,2043,26683,02/08/2021 - 02/12/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 8-12
2/8/2021,2/12/2021,Feb 8-12,Feb,2021,Peter Pan/Bonanza,Intercity Bus Departures,10,288,02/08/2021 - 02/12/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 8-12
2/8/2021,2/12/2021,Feb 8-12,Feb,2021,Trailways,Intercity Bus Departures,10,199,02/08/2021 - 02/12/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 8-12
2/8/2021,2/12/2021,Feb 8-12,Feb,2021,TransBridge,Commuter Bus Departures,12,324,02/08/2021 - 02/12/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 8-12
2/15/2021,2/19/2021,Feb 15-19,Feb,2021,Academy,Commuter Bus Departures,35,623,02/15/2021 - 02/19/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 15-19
2/15/2021,2/19/2021,Feb 15-19,Feb,2021,Coach USA,Commuter Bus Departures,81,1461,02/15/2021 - 02/19/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 15-19
2/15/2021,2/19/2021,Feb 15-19,Feb,2021,Greyhound,Intercity Bus Departures,34,848,02/15/2021 - 02/19/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 15-19
2/15/2021,2/19/2021,Feb 15-19,Feb,2021,HCEE - Community,Commuter Bus Departures,73,885,02/15/2021 - 02/19/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 15-19
2/15/2021,2/19/2021,Feb 15-19,Feb,2021,Lakeland,Commuter Bus Departures,12,271,02/15/2021 - 02/19/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 15-19
2/15/2021,2/19/2021,Feb 15-19,Feb,2021,Martz,Commuter Bus Departures,13,446,02/15/2021 - 02/19/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 15-19
2/15/2021,2/19/2021,Feb 15-19,Feb,2021,NJ Transit,Commuter Bus Departures,2281,27430,02/15/2021 - 02/19/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 15-19
2/15/2021,2/19/2021,Feb 15-19,Feb,2021,Peter Pan/Bonanza,Intercity Bus Departures,9,300,02/15/2021 - 02/19/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 15-19
2/15/2021,2/19/2021,Feb 15-19,Feb,2021,Trailways,Intercity Bus Departures,9,222,02/15/2021 - 02/19/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 15-19
2/15/2021,2/19/2021,Feb 15-19,Feb,2021,TransBridge,Commuter Bus Departures,12,341,02/15/2021 - 02/19/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 15-19
2/22/2021,2/26/2021,Feb 22-26,Feb,2021,Academy,Commuter Bus Departures,32,577,02/22/2021 - 02/26/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 22-26
2/22/2021,2/26/2021,Feb 22-26,Feb,2021,Coach USA,Commuter Bus Departures,83,1522,02/22/2021 - 02/26/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 22-26
2/22/2021,2/26/2021,Feb 22-26,Feb,2021,Greyhound,Intercity Bus Departures,33,831,02/22/2021 - 02/26/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 22-26
2/22/2021,2/26/2021,Feb 22-26,Feb,2021,HCEE - Community,Commuter Bus Departures,78,1117,02/22/2021 - 02/26/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 22-26
